time,accel,temperature,pressure
6100,9.8258695602417,38.5,102027.25
6150,9.822989463806152,38.5,102017.0
6200,9.816287994384766,38.5625,102029.25
6250,9.816754341125488,38.5625,102054.75
6300,9.825196266174316,38.5,102012.75
6350,9.852509498596191,38.625,102022.0
6400,9.834671020507812,38.4375,101989.5
6450,9.828313827514648,38.6875,102026.0
6500,9.824371337890625,38.5625,102016.0
6550,9.849935531616211,38.5625,102029.5
6600,9.836434364318848,38.5625,102023.75
6650,9.828439712524414,38.5625,102027.75
6700,9.8333101272583,38.5625,102030.25
6750,9.842767715454102,38.4375,102019.0
6800,9.831766128540039,38.625,102019.75
6850,9.82441234588623,38.625,102003.75
6900,9.833403587341309,38.625,102012.5
6950,9.819147109985352,38.5,101993.75
7000,9.824445724487305,38.625,102003.5
7050,9.82434368133545,38.5,102015.75
7100,9.847588539123535,38.4375,101991.5
7150,9.828271865844727,38.625,101997.5
7200,9.85816764831543,38.6875,101975.25
7250,9.82178020477295,38.625,102009.75
7300,9.81030559539795,38.6875,102040.5
7350,9.818954467773438,38.625,102009.5
7400,9.816641807556152,38.625,102006.0
7450,9.836658477783203,38.5,102025.25
7500,9.830852508544922,38.5625,102006.25
7550,9.843816757202148,38.5625,102004.0
7600,9.851811408996582,38.625,101984.25
7650,9.825634956359863,38.5625,102023.5
7700,9.831262588500977,38.5,102015.0
7750,9.833342552185059,38.5625,101989.75
7800,9.82286262512207,38.5,102002.5
7850,9.822446823120117,38.5625,102030.5
7900,9.823012351989746,38.6875,102014.0
7950,9.836732864379883,38.6875,102022.25
8000,9.85130500793457,38.5,101997.25
8050,9.833850860595703,38.5,102019.25
8100,9.821816444396973,38.5,101996.5
8150,9.823193550109863,38.5,101994.0
8200,9.815264701843262,38.75,102052.0
8250,9.839533805847168,38.75,102042.5
8300,9.85080623626709,38.625,102020.5
8350,9.817745208740234,38.5625,102042.75
8400,9.83025074005127,38.5625,102007.5
8450,9.81592845916748,38.6875,102045.5
8500,9.833539009094238,38.625,102024.75
8550,9.84024715423584,38.6875,102021.5
8600,9.83060073852539,38.5625,102032.25
8650,9.833553314208984,38.625,102014.25
8700,9.824039459228516,38.625,102056.0
8750,9.829163551330566,38.625,102040.25
8800,9.819944381713867,38.5625,102000.0
8850,9.819314002990723,38.625,102020.5
8900,9.837581634521484,38.625,102007.5
8950,9.830586433410645,38.6875,101989.0
9000,9.834341049194336,38.6875,102000.75
9050,9.830739974975586,38.5625,101999.5
9100,9.825565338134766,38.5625,102038.5
9150,9.824650764465332,38.625,102057.5
9200,9.834041595458984,38.625,102019.5
9250,9.826471328735352,38.625,101995.5
9300,9.827478408813477,38.5625,102038.0
9350,9.81618881225586,38.5625,102007.5
9400,9.846098899841309,38.625,102026.25
9450,9.82801628112793,38.625,102037.25
9500,9.836797714233398,38.5,102013.75
9550,9.842591285705566,38.8125,101981.75
9600,9.822564125061035,38.5,102013.75
9650,9.826391220092773,38.6875,102009.25
9700,9.819482803344727,38.625,102008.25
9750,9.834336280822754,38.625,102015.5
9800,9.828742980957031,38.6875,102032.5
9850,9.821606636047363,38.625,102039.0
9900,9.830423355102539,38.625,102000.75
9950,9.837059020996094,38.625,102009.75
10000,9.827805519104004,38.4375,102019.25
10050,9.827917098999023,38.625,102024.0
10100,9.832680702209473,38.6875,102037.5
10150,9.825859069824219,38.625,102053.0
10200,9.830739974975586,38.625,102041.25
10250,9.818263053894043,38.5625,102034.25
10300,9.82434368133545,38.5625,102034.25
10350,9.835851669311523,38.625,102008.0
10400,9.833999633789062,38.625,102009.5
10450,9.840923309326172,38.625,102001.25
10500,9.865472793579102,38.6875,101980.5
10550,9.853119850158691,38.5625,102011.0
10600,9.834615707397461,38.625,102021.75
10650,9.801284790039062,38.6875,102005.0
10700,9.823110580444336,38.625,102022.75
10750,9.8264799118042,38.625,102024.25
10800,9.809538841247559,38.75,102034.75
10850,9.837939262390137,38.75,102021.75
10900,9.842133522033691,38.5625,102012.5
10950,9.843382835388184,38.6875,102013.75
11000,9.842768669128418,38.6875,102016.75
11050,9.811721801757812,38.625,102025.0
11100,9.818263053894043,38.625,101965.25
11150,9.823012351989746,38.6875,102016.5
11200,9.831998825073242,38.6875,101998.75
11250,9.833907127380371,38.625,102044.75
11300,9.837553024291992,38.5625,102008.0
11350,9.8274564743042,38.6875,102017.5
11400,9.822096824645996,38.6875,102044.25
11450,9.818739891052246,38.5625,102011.75
11500,9.830120086669922,38.5625,102007.75
11550,9.824594497680664,38.5625,102016.25
11600,9.84131908416748,38.6875,102021.0
11650,9.81618881225586,38.6875,102006.0
11700,9.830950736999512,38.75,102008.0
11750,9.837264060974121,38.625,102039.0
11800,9.829766273498535,38.6875,102015.5
11850,9.866388320922852,38.6875,102018.0
11900,9.798065185546875,38.875,101994.0
11950,9.811721801757812,38.625,102054.75
12000,9.819122314453125,38.6875,102042.0
12050,9.836588859558105,38.6875,102021.0
12100,9.84024715423584,38.5625,102021.75
12150,9.824748992919922,38.4375,101999.75
12200,9.818379402160645,38.5625,102019.5
12250,9.822857856750488,38.6875,102023.25
12300,9.822633743286133,38.6875,102020.25
12350,9.827735900878906,38.625,102006.5
12400,9.843029022216797,38.625,102002.5
12450,9.838396072387695,38.6875,102002.25
12500,9.828571319580078,38.75,102010.0
12550,9.818263053894043,38.625,102040.25
12600,9.817781448364258,38.8125,102018.25
12650,9.812531471252441,38.75,101964.0
12700,9.82227897644043,38.5625,102031.0
12750,9.837767601013184,38.6875,102021.25
12800,9.84920883178711,38.6875,102022.0
12850,9.838507652282715,38.5,102026.25
12900,9.819421768188477,38.6875,102035.5
12950,9.796492576599121,38.5625,102048.25
